method_key,method_label,method_family,total_selected,overall_fill_rate,worst_cell_fill_rate,est_total_cost_rupiah,coverage_ratio,breadth_coverage,category_balance,creator_diversity,trending_ratio,virality_ratio,long_tail_coverage,country_balance,beauty_share_realized
M1,M1 Broad (Rank Position),Extract-all,2000,1.0,1.0,400000,6.541687596316823,0.32089458797651943,0.6198002053303482,0.7164245874696558,1.0674215251821078,1.0538129315827853,0.0115625,0.8962402646265732,0.8005
M2,M2 Narrow (Ranking),Extract-all,2000,1.0,1.0,400000,2.738453502787951,0.30571722034222787,0.4800233190367646,0.7005883946471745,1.1157267634308772,1.083102618034669,0.014363881086142321,0.8962402646265732,0.8005
M3,M3 Top-K (Virality),Top-K per hashtag,2000,1.0,1.0,400000,10.673425962976271,0.7840109970627849,0.7930258301682697,0.732848060621365,1.0580545360434273,1.4096925323772567,0.15780790490219992,0.8962402646265732,0.8005
M4,M4 Top-K (Trending),Top-K per hashtag,2000,1.0,1.0,400000,9.547064196448456,0.8012890420079294,0.7687947882295647,0.7300663790554582,1.1622557341946766,1.1122403548621804,0.14417544316847836,0.8962402646265732,0.8005
M5,M5 Top-K (Avg Score),Top-K per hashtag,2000,1.0,1.0,400000,10.58579188746354,0.7957143986394726,0.7825971307566483,0.7317290832526223,1.1116292485278783,1.3733561182505742,0.15313382970235645,0.8962402646265732,0.8005
M7,M7 Random Baseline,Random,2000,1.0,1.0,400000,5.492089179726112,0.5173978262740665,0.724734788047392,0.7322110745152516,0.9920595919167041,1.005552900951325,0.15457737169616675,0.8962402646265732,0.8005
