method_key,method_label,method_family,country,is_ID,is_MY,is_PH,is_TH,bpc_type,is_beauty,cell,target_budget,selected_count,fill_rate,coverage_ratio,breadth_coverage,category_balance,creator_diversity,trending_ratio,virality_ratio,long_tail_coverage,n_hashtags_in_cell,n_hashtags_touched
M7,M7 Random Baseline,Random,PH,False,False,True,False,BEAUTY,True,PH-Beauty,267,267,1.0,2.000363968942603,0.5885714285714285,0.77198661489699,0.7786803499210228,0.9942197262747647,0.9842747543024847,0.1198501872659176,175,103
M1,M1 Broad (Rank Position),Extract-all,PH,False,False,True,False,NON BEAUTY,False,PH-NonBeauty,66,66,1.0,0.8683267319051006,0.13392857142857142,0.2730309801630727,0.5783587459153897,1.0876089280038075,1.084197695616775,0.0,224,30
M2,M2 Narrow (Ranking),Extract-all,PH,False,False,True,False,NON BEAUTY,False,PH-NonBeauty,66,66,1.0,0.035258894159230815,0.0625,0.21322096428856943,0.5913361641054551,0.9400909874098434,1.0575936962188817,0.0,224,14
M3,M3 Top-K (Virality),Top-K per hashtag,PH,False,False,True,False,NON BEAUTY,False,PH-NonBeauty,66,66,1.0,4.570470262000124,0.36160714285714285,0.6514874581424042,0.5883715530383551,1.1152022118559162,1.6842236778594284,0.045454545454545456,224,81
M4,M4 Top-K (Trending),Top-K per hashtag,PH,False,False,True,False,NON BEAUTY,False,PH-NonBeauty,66,66,1.0,1.3571043784566459,0.36607142857142855,0.5422942099764516,0.5883715530383551,1.2578879407114585,1.248635409019463,0.015151515151515152,224,82
M5,M5 Top-K (Avg Score),Top-K per hashtag,PH,False,False,True,False,NON BEAUTY,False,PH-NonBeauty,66,66,1.0,5.1594368679969,0.36607142857142855,0.6031786210297166,0.5854069419712549,1.1992014065611885,1.637801640923459,0.06060606060606061,224,82
M7,M7 Random Baseline,Random,PH,False,False,True,False,NON BEAUTY,False,PH-NonBeauty,66,66,1.0,0.12922163574886864,0.20535714285714285,0.6375182936807697,0.5883715530383551,0.9772583730240582,0.955692843685888,0.015151515151515152,224,46
M1,M1 Broad (Rank Position),Extract-all,TH,False,False,False,True,BEAUTY,True,TH-Beauty,267,267,1.0,42.3193289248381,0.5652173913043478,0.9469677321887953,0.8143070668640203,1.112063883366855,1.0464851843100018,0.0,69,39
M2,M2 Narrow (Ranking),Extract-all,TH,False,False,False,True,BEAUTY,True,TH-Beauty,267,267,1.0,11.945969329563832,0.5072463768115942,0.8144847933967442,0.8131990064600937,1.0970948721252272,1.0080076001060008,0.07116104868913857,69,35
M3,M3 Top-K (Virality),Top-K per hashtag,TH,False,False,False,True,BEAUTY,True,TH-Beauty,267,267,1.0,54.64863033342272,1.0,0.945994116432229,0.8228075123137426,1.063120562682176,1.3101811729735673,0.3595505617977528,69,69
M4,M4 Top-K (Trending),Top-K per hashtag,TH,False,False,False,True,BEAUTY,True,TH-Beauty,267,267,1.0,51.40013240754032,1.0,0.949155372509297,0.8215866978594477,1.1477355717631985,1.09125625020211,0.3333333333333333,69,69
M5,M5 Top-K (Avg Score),Top-K per hashtag,TH,False,False,False,True,BEAUTY,True,TH-Beauty,267,267,1.0,54.06433087851656,1.0,0.9467205735125138,0.8235838039331498,1.0978633704702216,1.2838580656480336,0.35580524344569286,69,69
M7,M7 Random Baseline,Random,TH,False,False,False,True,BEAUTY,True,TH-Beauty,267,267,1.0,36.6495629611277,0.855072463768116,0.9329701979397994,0.8242085791384318,0.9943900802624701,1.0067944709337164,0.40074906367041196,69,59
M1,M1 Broad (Rank Position),Extract-all,TH,False,False,False,True,NON BEAUTY,False,TH-NonBeauty,66,66,1.0,0.2465791544194354,0.11510791366906475,0.24369182441239184,0.6249132530669819,1.0791197349121577,1.071708491947277,0.0,139,16
M2,M2 Narrow (Ranking),Extract-all,TH,False,False,False,True,NON BEAUTY,False,TH-NonBeauty,66,66,1.0,0.6503845162379068,0.1223021582733813,0.347118448177575,0.6060208568953486,1.1138910156693873,1.1526066344681063,0.0,139,17
M3,M3 Top-K (Virality),Top-K per hashtag,TH,False,False,False,True,NON BEAUTY,False,TH-NonBeauty,66,66,1.0,4.107399505965017,0.539568345323741,0.7356591225011506,0.6280619857622539,1.0711517920465812,1.5825531713643153,0.07575757575757576,139,75
M4,M4 Top-K (Trending),Top-K per hashtag,TH,False,False,False,True,NON BEAUTY,False,TH-NonBeauty,66,66,1.0,1.8929004759566097,0.5755395683453237,0.7041614118189662,0.6217645203717097,1.223570091675777,1.1523412996354834,0.06060606060606061,139,80
M5,M5 Top-K (Avg Score),Top-K per hashtag,TH,False,False,False,True,NON BEAUTY,False,TH-NonBeauty,66,66,1.0,2.2723620611665862,0.5611510791366906,0.7084517366617473,0.6249132530669819,1.1440961400566592,1.5389296487977986,0.06060606060606061,139,78
M7,M7 Random Baseline,Random,TH,False,False,False,True,NON BEAUTY,False,TH-NonBeauty,66,66,1.0,0.4442603509481189,0.28776978417266186,0.6463938243303115,0.6280619857622539,0.9968832586892155,1.0441299889942297,0.045454545454545456,139,40
